word,katakana,part_of_speech,conjugation_type,conjugated_form_example
冷たい,ツメタイ,形容詞-一般,形容詞,終止形-一般
ベッド,ベッド,名詞-普通名詞-一般,0,0
絵,エ,名詞-普通名詞-一般,0,0
うたう,ウタウ,動詞-一般,五段-ワア行-一般,連用形-促音便
コーヒー,コーヒー,名詞-普通名詞-一般,0,0
弟,オトウト,名詞-普通名詞-一般,0,0
よろしい,ヨロシイ,形容詞-一般,形容詞,終止形-一般
妹,イモウト,名詞-普通名詞-一般,0,0
午後,ゴゴ,名詞-普通名詞-副詞可能,0,0
狭い,セマイ,形容詞-一般,形容詞,連体形-一般
寒い,サムイ,形容詞-一般,形容詞,連体形-一般
ごめん,ゴメン,名詞-普通名詞-一般,0,0
白,シラ,名詞-普通名詞-一般,0,0
北,キタ,名詞-普通名詞-一般,0,0
春,ハル,名詞-普通名詞-副詞可能,0,0
忙しい,イソガシイ,形容詞-一般,形容詞,連体形-一般
ふろ,フロ,名詞-普通名詞-一般,0,0
パン,パン,名詞-普通名詞-一般,0,0
外国,ガイコク,名詞-普通名詞-一般,0,0
どうぞ,ドウゾ,副詞,0,0
雑誌,ザッシ,名詞-普通名詞-一般,0,0
さあ,サア,感動詞-一般,0,0
辺,ヘン,名詞-普通名詞-一般,0,0
吸う,スウ,動詞-一般,五段-ワア行-一般,連用形-促音便
履く,ハク,動詞-一般,五段-カ行-一般,終止形-一般
休む,ヤスム,動詞-一般,下一段-マ行,連用形-一般
庭,ニワ,名詞-普通名詞-一般,0,0
玄関,ゲンカン,名詞-普通名詞-一般,0,0
ええ,エエ,感動詞-一般,0,0
男の子,オトコノコ,名詞-普通名詞-一般,0,0
冬,フユ,名詞-普通名詞-副詞可能,0,0
おなか,オナカ,名詞-普通名詞-一般,0,0
音楽,オンガク,名詞-普通名詞-一般,0,0
兄弟,キョウダイ,名詞-普通名詞-一般,0,0
動物,ドウブツ,名詞-普通名詞-一般,0,0
貸す,カス,動詞-一般,五段-サ行,連体形-一般
昼,ヒル,名詞-普通名詞-副詞可能,0,0
ボール,ボール,名詞-普通名詞-一般,0,0
トイレ,トイレ,名詞-普通名詞-一般,0,0
着く,ツク,動詞-一般,五段-カ行-一般,連用形-一般
細い,ホソイ,形容詞-一般,形容詞,連体形-一般
肉,ニク,名詞-普通名詞-一般,0,0
建物,タテモノ,名詞-普通名詞-一般,0,0
掃除,ソウジ,名詞-普通名詞-サ変可能,0,0
電気,デンキ,名詞-普通名詞-一般,0,0
橋,ハシ,名詞-普通名詞-一般,0,0
秋,アキ,名詞-普通名詞-副詞可能,0,0
ご飯,ゴハン,名詞-普通名詞-一般,0,0
暇,ヒマ,名詞-普通名詞-形状詞可能,0,0
階段,カイダン,名詞-普通名詞-一般,0,0
大好き,ダイスキ,形状詞-一般,0,0
熱い,アツイ,形容詞-一般,形容詞,連用形-一般
鳥,トリ,名詞-普通名詞-一般,0,0
赤,アカ,名詞-普通名詞-一般,0,0
こうむる,コウムル,動詞-一般,五段-ラ行-一般,連体形-一般
