スル,する
ブンケ,分家
モノオキ,物置
バンサン,晩餐
ムホウ,無法
キキツケル,聞き付ける
リクロ,陸路
モクロミ,もくろみ
ラップ,ラップ
イヤガラセ,いやがらせ
ヤクビョウ,疫病
コウスル,抗する
ギョット,ぎょっと
ミケン,みけん
コスモス,コスモス
シュショク,主食
ノリツグ,乗り継ぐ
ヤドス,宿す
ジョウネン,情念
チャイナ,チャイナ
ギョウコ,凝固
マンメン,満面
ドチャク,土着
リキガク,力学
テンセイ,転生
ネビキ,値引き
キリサク,切り裂く
ヤング,ヤング
ケトバス,けとばす
ハナシコトバ,話し言葉
アセスメント,アセスメント
キンギン,金銀
ウキウキ,うきうき
タイジュ,大樹
クイモノ,食い物
ワケテ,わけて
ガイセン,凱旋
シュツバ,出馬
トリシキル,取り仕切る
ヒトヅマ,人妻
ジセイ,時世
シャイ,シャイ
タチツクス,立ち尽くす
デンチュウ,電柱
ケツジツ,結実
ガイカ,外貨
コウハク,紅白
ネンコウ,年功
イコツ,遺骨
ハゲル,はげる
コンロ,コンロ
スティック,スティック
ダッセン,脱線
ミナトマチ,港町
リアリズム,リアリズム
カクシツ,確執
オイカエス,追い返す
イイアラワス,言い表す
ナラワシ,習わし
セツリ,摂理
ダイドウ,大同
セッシュウ,接収
ガシツ,画質
チケン,知見
ジタ,自他
ナニビト,なにびと
チノケ,血の気
サキガケ,先駆け
グンプク,軍服
センテン,先天
シンテキ,心的
バッチリ,バッチリ
チョウバツ,懲罰
コウグ,工具
レイタン,冷淡
フキツケル,吹きつける
ミドコロ,見どころ
ホウフツ,彷彿
サッチョウ,薩長
ノマス,飲ます
カケアガル,駆け上がる
スイグン,水軍
クミカエル,組み替える
エングン,援軍
ヘンソウ,変装
ドロップ,ドロップ
カジノ,カジノ
カケアウ,かけ合う
コドウ,鼓動
カルテ,カルテ
ホソミ,細身
ノウエン,農園
ヨウセキ,容積
ジョウニン,常任
カケヌケル,駆け抜ける
アイドク,愛読
ゾウゼイ,増税
キョウシャ,強者
カキシルス,書き記す
ニュウタイ,入隊
ヒツウ,悲痛
ゴマカシ,ごまかし
ソバヤ,そば屋
ダシン,打診
シンラン,親鸞
アサガオ,朝顔
トクハ,特派
ナガレオチル,流れ落ちる
ヒダリシタ,左下
サハン,茶飯
ロテン,露天
ロンセツ,論説
バイテン,売店
オモダツ,主立つ
ユウリョ,憂慮
モザイク,モザイク
ホウジ,法事
クチサキ,口先
ハイカイ,徘徊
ミャクラク,脈絡
チョウブン,長文
コクホ,国保
イレカエ,入れ替え
ソツウ,疎通
チガエル,違える
ヒレ,ヒレ
カンレキ,還暦
ツカイミチ,使い道
コネ,コネ
ハンサム,ハンサム
ドウウ,同右
ショタイ,所帯
ゲキツウ,激痛
ショクノウ,職能
セッキャク,接客
モテナシ,もてなし
リュウザン,流産
モチコミ,持ち込み
クロシオ,黒潮
ユウベ,夕べ
トリオコナウ,執り行う
メンツ,メンツ
ジリジリ,じりじり
ザゼン,座禅
ゴタゴタ,ゴタゴタ
ヒタン,悲嘆
タンセイ,端正
デイリグチ,出入り口
キョウユ,教諭
バイリツ,倍率
ムスリム,ムスリム
マビキ,間引き
スリップ,スリップ
ドウラン,動乱
ミカイ,未開
ジッピ,実費
コロッケ,コロッケ
イップク,一服
シュチュウ,手中
リモコン,リモコン
コンレイ,婚礼
ジョショウ,序章
ホコラ,ほこら
サイコロ,さいころ
サイライ,再来
エンメイ,延命
ハクダツ,はく奪
シメツ,死滅
スイリョウ,水量
ネットウ,熱湯
ウカス,浮かす
イヒン,遺品
トベイ,渡米
ヨウフ,養父
ノウサク,農作
オトシ,落とし
コウキョ,皇居
イキヅカイ,息づかい
ゼンラ,全裸
カタリツグ,語り継ぐ
コスウ,戸数
ヒョウボウ,標榜
キチガイ,気違い
ムテキ,無敵
ヒヤアセ,冷や汗
タンザク,短冊
ホトトギス,ホトトギス
カミ,加味
シコリ,しこり
シボリコム,絞り込む
シンミョウ,神妙
スライス,スライス
ハルバル,はるばる
アガメル,あがめる
テンプク,転覆
コウロウ,功労
キキナガス,聞き流す
キョリュウ,居留
シマグニ,島国
シデカス,しでかす
アンケン,案件
エンダカ,円高
ツクダニ,つくだ煮
キョロキョロ,きょろきょろ
キセン,汽船
キョウジャク,強弱
キヨイ,清い
イケガキ,生け垣
イイツタエ,言い伝え
テレ,照れ
タテコモル,立てこもる
トオマワリ,遠回り
ゲザ,下座
ナンセンス,ナンセンス
イサマシイ,勇ましい
ニエル,煮える
ハツネツ,発熱
ミンヨウ,民謡
ジクウ,時空
イブクロ,胃袋
マガリクネル,曲がりくねる
アマ,アマ
シャコ,車庫
ハカドル,はかどる
アンニ,暗に
キンノウ,勤王
コッコ,国庫
シャクシ,杓子
ショキュウ,初級
カラダツキ,体つき
クドイ,くどい
セイテン,晴天
サンキャク,三脚
ケシ,罌粟
トマリ,泊まり
ニュウネン,入念
チッポケ,ちっぽけ
ベツダン,別段
カバネ,かばね
トランプ,トランプ
ピリピリ,ピリピリ
ジャグチ,蛇口
モタゲル,もたげる
ツカイワケ,使い分け
キッスル,喫する
ソウゼイ,総勢
オンネン,怨念
テンヨウ,転用
カダン,花壇
ハンガ,版画
タアイ,他愛
ワイロ,わいろ
ツウネン,通念
キロ,帰路
アクリョウ,悪霊
ショカイ,初回
チュウサン,中産
ハップ,発布
フジュン,不純
リッシン,立身
ジュズ,数珠
ブツカリアウ,ぶつかり合う
キマジメ,きまじめ
キョム,虚無
ボウスイ,防水
ギョカイ,魚介
ヒトヤスミ,ひと休み
ゾウガク,増額
デンテツ,電鉄
ヤラス,やらす
チカミチ,近道
カイトリ,買い取り
ゴカン,五感
ドロヌマ,泥沼
アイシアウ,愛し合う
ゲンアン,原案
バチ,バチ
ロンチョウ,論調
チュウトン,駐屯
ヒバチ,火鉢
チャノユ,茶の湯
ヒカゲ,日陰
チヂマル,縮まる
ハイゴウ,配合
ホウヨウ,法要
シンズイ,真髄
テンクウ,天空
セッショウ,折衝
ギョカク,漁獲
トッキ,突起
タイジョウ,退場
カゼトオシ,風通し
ヨイン,余韻
エズ,絵図
イワヤマ,岩山
ハカバ,墓場
セバメル,狭める
ハキョク,破局
モクスル,目する
マモノ,魔物
ミコス,見越す
ワキバラ,脇腹
ブチマケル,ぶちまける
シンマイ,新米
グルリト,ぐるりと
ウェル,ウェル
カクレガ,隠れ家
ザヒョウ,座標
リコ,利己
エッグ,エッグ
クサムラ,草むら
ハナヒラク,花開く
ベンガク,勉学
ウンコ,ウンコ
クドウ,駆動
クラベモノ,比べ物
ヘンジン,変人
ツウレツ,痛烈
タンガン,嘆願
ニュウコウ,入港
センチュウ,戦中
トウリョウ,棟梁
ステサル,捨て去る
ドッシリ,どっしり
センベイ,せんべい
セイジャ,聖者
ジジュウ,侍従
セイム,政務
オシエコム,教え込む
メッキ,メッキ
カリスマ,カリスマ
クスブル,くすぶる
ヒアイ,悲哀
サイモク,細目
トリドリ,とりどり
イキヅク,息づく
セイホ,生保
ソトヅラ,外面
ヤスモノ,安物
アゼ,あぜ
シンピョウ,しんぴょう
マバユイ,まばゆい
コクゼイ,国税
フタイ,付帯
ゲンセイ,原生
ヌケデル,抜け出る
サクリャク,策略
キッサキ,切っ先
シュガン,主眼
ゲキタイ,撃退
テイシキ,定式
シマイコム,しまい込む
サウンド,サウンド
ウチタテル,打ち立てる
ギコウ,技巧
ナンギ,難儀
ウルオウ,潤う
メモリ,目盛り
ノウキョウ,農協
ダンチョウ,団長
ヘンピン,返品
ヨジノボル,よじ登る
ニチヤ,日夜
ウズマキ,渦巻き
ブンベン,分娩
フレンド,フレンド
ハビコル,はびこる
タンヤ,鍛冶
ホウリュウ,放流
ソグウ,そぐう
ツリアイ,釣り合い
モンジン,門人
コンポウ,こん包
フリハラウ,振り払う
オンコウ,温厚
ヨウビ,曜日
アリカ,ありか
テッキリ,てっきり
ミチヅレ,道連れ
エゴ,エゴ
チイサメ,小さめ
マフユ,真冬
バクショウ,爆笑
コクメイ,克明
エイヤク,英訳
フリキル,振り切る
バトル,バトル
シュッコク,出国
ムショク,無職
ジハク,自白
ランダム,ランダム
スイハン,炊飯
マンサイ,満載
ラタイ,裸体
スカイ,スカイ
モデム,モデム
ヘキガ,壁画
キビ,キビ
フリシボル,ふりしぼる
カイガラ,貝殻
サラリト,さらりと
トイカエス,問い返す
ウチコロス,打ち殺す
オウカ,おう歌
ゴビ,語尾
セキグン,赤軍
サシムケル,差し向ける
ジサ,時差
マユゲ,まゆ毛
カプセル,カプセル
タカミ,高み
サラキン,サラ金
ワルモノ,悪者
ホロブ,滅ぶ
サンシ,三四
ビョウジャク,病弱
ゲキレツ,激烈
カンヌシ,神主
フキアレル,吹き荒れる
ホホエミ,微笑み
コクホウ,国宝
タガ,タガ
エイヨ,栄誉
ハグキ,歯ぐき
ヤミクモ,闇雲
スデ,素手
ニガワライ,苦笑い
ブンセツ,分節
ジャンク,ジャンク
ヤレ,やれ
エンスイ,塩水
ゾウエイ,造営
イケニエ,いけにえ
ウワサバナシ,うわさ話
シャドウ,車道
カキツケル,書きつける
タイラゲル,平らげる
ネンポウ,年俸
ボヤケル,ぼやける
ゾクゾク,ぞくぞく
ニッカ,日課
カンラク,陥落
ザッシュ,雑種
シュツダイ,出題
ニッシ,日誌
キュウム,急務
ブカン,武官
ヤキモノ,焼き物
ショクハツ,触発
リュウハ,流派
ロンガイ,論外
メイチョ,名著
マンプク,満腹
レイキ,冷気
マドンナ,マドンナ
トックリ,とっくり
マキオコス,巻き起こす
レンキン,錬金
トビキリ,とびきり
クスム,くすむ
カイカイ,開会
ベッシツ,別室
ハクネツ,白熱
スリコム,刷り込む
ミワケ,見分け
シャブル,しゃぶる
トウチョク,当直
アクセイ,悪性
ヨウツウ,腰痛
シキテン,式典
テイセツ,定説
シツギ,質疑
キョボク,巨木
テッソク,鉄則
ハンゼン,判然
リュウチ,留置
タイノウ,滞納
オンジン,恩人
ボウリング,ボウリング
チンジョウ,陳情
ウラオモテ,裏表
ヌギステル,脱ぎ捨てる
ミダリ,みだり
メチャメチャ,めちゃめちゃ
ゴッコ,ごっこ
ヒョウタン,ひょうたん
ケンシキ,見識
セイキョク,政局
ワビシイ,わびしい
ヘイレツ,並列
シュツボツ,出没
モヨオシ,催し
ホヨウ,保養
シンクウ,真空
ホリュウ,保留
シキブ,式部
サッショウ,殺傷
ジュンキョ,準拠
シャチュウ,車中
ヨウジョウ,養生
キュウシキ,旧式
エンゴ,援護
ギキョク,戯曲
アブル,あぶる
マロヤカ,まろやか
シロキ,白木
イチレイ,一礼
ソダテアゲル,育て上げる
ジンゾウ,腎臓
アサル,あさる
コウアツ,高圧
カネソナエル,兼ね備える
タイシュツ,退出
ヒキアイ,引き合い
エジキ,えじき
チャクチ,着地
カタヨリ,偏り
ダイエイ,大英
ヨバワリ,呼ばわりする
カイチク,改築
ズル,ずる
ハカイシ,墓石
セキガイ,赤外
シコウシテ,而して
ニコム,煮込む
シジョ,子女
オシコロス,押し殺す
ガタ,がた
カンボク,かん木
ハリガミ,張り紙
ヤケイ,夜景
テンタイ,天体
メンクラウ,面食らう
コクナイガイ,国内外
ヤスラグ,安らぐ
ドゾウ,土蔵
センド,鮮度
メッキリ,めっきり
ゲラク,下落
ノヤマ,野山
クギヅケ,釘づけ
マンザラ,まんざら
サキゴロ,先ごろ
ユノミ,湯飲み
リッキャク,立脚
ネオキ,寝起き
ソッケツ,即決
イブ,イブ
テアタリ,手当たり
コツゼン,こつ然
サイクツ,採掘
シング,寝具
タジログ,たじろぐ
ブヨウ,舞踊
チョウケイ,長兄
オリマゲル,折り曲げる
チャッコウ,着工
ウラ,うら
ケッキ,決起
ナプキン,ナプキン
ダンロ,暖炉
オアシス,オアシス
フナ,フナ
ナキサケブ,泣き叫ぶ
メザメ,目覚め
キムチ,キムチ
カンバシイ,芳しい
キョウシュウ,教習
キック,キック
サイコク,西国
ショセイ,書生
ショクヒ,食費
ナゲイレル,投げ入れる
ソエン,疎遠
エンバン,円盤
ゼツエン,絶縁
タンスイ,淡水
サンヤ,山野
クイル,悔いる
ユクスエ,行く末
ギマン,欺まん
ダンショウ,談笑
ヨビコム,呼び込む
カイコン,開墾
スケベエ,助平
ホコサキ,矛先
トイレット,トイレット
フリマク,ふりまく
ホノメカス,ほのめかす
サツイ,殺意
ケイニク,鶏肉
キョクイン,局員
フクギョウ,副業
ニシン,ニシン
ムシアツイ,蒸し暑い
ヨメイリ,嫁入り
トリコワス,取り壊す
イングリッシュ,イングリッシュ
シュッセイ,出征
ハツガ,発芽
レキゼン,歴然
イソギ,急ぎ
チンジュ,鎮守
ニゴス,濁す
アイコトバ,合い言葉
カンエン,肝炎
スペシャル,スペシャル
ツッパル,突っ張る
フウウ,風雨
ノリキ,乗り気
フンドシ,ふんどし
ジツメイ,実名
ノリウツル,乗り移る
コウコツ,恍惚
カクサク,画策
