スル,する
シドウ,指導
シハイ,支配
ススメル,勧める
ショウネン,少年
フレル,触れる
ジム,事務
カツテ,かつて
ヒカク,比較
ハッケン,発見
キオク,記憶
サギョウ,作業
ゲンダイ,現代
ダンカイ,段階
マチガイ,間違い
シュルイ,種類
カコ,過去
ニンシキ,認識
ジタイ,自体
ハハオヤ,母親
イギリス,イギリス
フタタビ,再び
マア,まあ
ハゲシイ,激しい
ホウコウ,方向
ケイエイ,経営
テンノウ,天皇
ナガレル,流れる
キョウジュ,教授
シュチョウ,主張
セイ,せい
タニン,他人
ユエ,ゆえ
ワズカ,わずか
イダク,抱く
ドリョク,努力
フシギ,不思議
カイケツ,解決
キロク,記録
コウセイ,構成
イワユル,いわゆる
マサニ,まさに
アラワス,表す
ハッテン,発展
カイハツ,開発
ヤクワリ,役割
セイコウ,成功
タイド,態度
ホンニン,本人
セッテイ,設定
モトモト,もともと
セイチョウ,成長
フウフ,夫婦
レベル,レベル
セイサク,政策
ソウゾウ,想像
サンショウ,参照
クワシイ,詳しい
イライ,以来
トニカク,とにかく
ナカマ,仲間
ジジョウ,事情
トレル,とれる
コエル,超える
キワメテ,極めて
モトヅク,基づく
サケル,避ける
トクチョウ,特徴
ヒロガル,広がる
マルデ,まるで
サイコウ,最高
ホンライ,本来
ゼンコク,全国
ツナガル,つながる
ジツゲン,実現
カンジョウ,感情
タイケン,体験
サクヒン,作品
サイダイ,最大
ホゴ,保護
テンカイ,展開
チチオヤ,父親
アラタ,新た
ショリ,処理
カンカク,感覚
バカ,バカ
ヒハン,批判
シュウダン,集団
キテイ,規定
サテ,さて
キジュン,基準
イノチ,いのち
シリョウ,資料
キョリ,距離
トモナウ,伴う
ケイヤク,契約
ネンレイ,年齢
マナブ,学ぶ
キョウト,京都
タントウ,担当
シソウ,思想
トツゼン,突然
ケンコウ,健康
キンダイ,近代
トラエル,とらえる
シテキ,指摘
イコウ,以降
ヨウキュウ,要求
ヒガイ,被害
ハンイ,範囲
オウズル,応ずる
ショウヒ,消費
ケイセイ,形成
シュウキョウ,宗教
リエキ,利益
キボウ,希望
トウジョウ,登場
カンシン,関心
ナガレ,流れ
ショウガイ,障害
フクメル,含める
セイリツ,成立
ウム,生む
アンテイ,安定
ツクリ,つくり
シセツ,施設
ハッピョウ,発表
インショウ,印象
メザス,目指す
ケントウ,検討
カッテ,勝手
ドウロ,道路
ヒョウジョウ,表情
カンレン,関連
コンカイ,今回
ジュウタク,住宅
キョウリョク,協力
ハンノウ,反応
セイメイ,生命
ソウトウ,相当
コンゴ,今後
ニチジョウ,日常
ロウジン,老人
ツウジョウ,通常
キョウドウ,共同
コウニュウ,購入
ブンセキ,分析
アツカウ,扱う
ミンゾク,民族
ヌク,抜く
ジッシ,実施
テイキョウ,提供
サンコウ,参考
シュッパン,出版
カンコク,韓国
ヒョウジ,表示
ケイコウ,傾向
チャント,ちゃんと
ハタス,果たす
チカヅク,近づく
キチント,きちんと
センゴ,戦後
クウ,食う
トウ,問う
カイカク,改革
キョウツウ,共通
ヘイセイ,平成
リロン,理論
マンゾク,満足
ヨウヤク,ようやく
ケイサン,計算
カクス,隠す
スゴス,過ごす
ケンサ,検査
モタラス,もたらす
コウカン,交換
イチジ,一時
ギモン,疑問
カイシ,開始
シュウイ,周囲
アイスル,愛する
ギョウセイ,行政
ワカモノ,若者
ゼンゴ,前後
キソ,基礎
ゲンバ,現場
タイセイ,体制
モクヒョウ,目標
トドク,届く
ヒテイ,否定
キボ,規模
ヨウスル,要する
オヨブ,及ぶ
トクテイ,特定
アテル,充てる
ナイブ,内部
トリヒキ,取引
コウゲキ,攻撃
タンジョウ,誕生
ウケトル,受け取る
ドクリツ,独立
ムスブ,結ぶ
ダンタイ,団体
モデル,モデル
シュダン,手段
イジ,維持
フタン,負担
タトエ,たとえ
ゼンイン,全員
ハンバイ,販売
キジ,記事
ヘンコウ,変更
イドウ,移動
ニンキ,人気
オウ,追う
カントク,監督
ゲンショウ,現象
ワライ,笑い
ササエル,支える
シセイ,姿勢
ノゾム,望む
サダメル,定める
モノガタリ,物語
ナガメル,眺める
サイシュウ,最終
ショウメイ,証明
ポイント,ポイント
クウカン,空間
フンイキ,雰囲気
カカエル,抱える
タイサク,対策
ケンリ,権利
ユタカ,豊か
シジョウ,市場
ノセル,乗せる
ナットク,納得
サクセイ,作成
ウケイレル,受け入れる
ツカム,つかむ
ツイニ,ついに
ウゴカス,動かす
シルス,記す
カカク,価格
カイガイ,海外
ギロン,議論
イリ,入り
ワケル,分ける
タスケル,助ける
ショウメン,正面
コンナン,困難
アラユル,あらゆる
アクマデ,あくまで
オトズレル,訪れる
イッショウ,一生
チエ,知恵
ギム,義務
マトメル,まとめる
シュンカン,瞬間
カイシャク,解釈
イッテイ,一定
ナガス,流す
タッスル,達する
ケンセツ,建設
トリアゲル,取り上げる
ヨウソ,要素
チナミ,ちなみ
ダイジン,大臣
カショ,カ所
ショユウ,所有
ブンヤ,分野
チュウモク,注目
ムシ,無視
ジュウミン,住民
サイバン,裁判
カクメイ,革命
ジッコウ,実行
サユウ,左右
クロウ,苦労
シンライ,信頼
チキュウ,地球
タタク,たたく
ツキアウ,付き合う
ヒトコト,一言
デアウ,出会う
ハカル,図る
コクナイ,国内
セッキョク,積極
ヒコウ,飛行
アラタメテ,改めて
イッサイ,一切
カンサツ,観察
シュウチュウ,集中
タタカウ,戦う
タスウ,多数
メグル,めぐる
イリョウ,医療
サケブ,叫ぶ
チュウガク,中学
ハルカ,はるか
サイヨウ,採用
テイコウ,抵抗
カダイ,課題
ガイネン,概念
フソク,不足
トウロク,登録
セイネン,青年
タイリョウ,大量
ゴク,ごく
セケン,世間
スグレル,優れる
シンリ,心理
オチツク,落ち着く
ゲンソク,原則
タンジュン,単純
シュッシン,出身
ワダイ,話題
シアワセ,幸せ
カンセイ,完成
ヨソウ,予想
ヘイキン,平均
タンニ,単に
カクダイ,拡大
ヘル,減る
ケイシキ,形式
イン,イン
キョウシ,教師
キンチョウ,緊張
ダンジョ,男女
ハイケイ,背景
ゾウカ,増加
チョウセン,朝鮮
ベイコク,米国
チカ,地下
ヘンシュウ,編集
ソモソモ,そもそも
ヌケル,抜ける
タンイ,単位
シュウヘン,周辺
ヒヨウ,費用
ザイリョウ,材料
カンジャ,患者
ニギル,握る
カクジツ,確実
シジ,指示
ジョシ,女子
ホゾン,保存
オエル,終える
シホン,資本
セダイ,世代
マン,マン
ロシア,ロシア
マワス,回す
マスマス,ますます
チリョウ,治療
クミアイ,組合
セイリ,整理
メイレイ,命令
カイトウ,回答
